Hujan NNP
: :
& CC
amp NN
; :

I PRP
want VBP
to TO
sleeeeeeeeeeeep VB
. .
. .
. .

how WRB
difficult JJ
it PRP
is VBZ
to TO
find VB
the DT
confidence NN
and CC
sincerity NN
in IN
the DT
world NN
( -LRB-
( -LRB-
( -LRB-

Do VBP
you PRP
really RB
love VB
me PRP
? .

I PRP
have VBP
so RB
much JJ
to TO
do VB
, ,
but CC
staying VBG
in IN
bed NN
all DT
day NN
seems VBZ
to TO
be VB
the DT
better JJR
option NN

dont JJ
rain NN
on IN
my PRP$
pARADEEEEE NN

Trying VBG
to TO
persuade VB
the DT
kids NNS
to TO
remove VB
the DT
baubles NNS
from IN
the DT
Christmas NNP
tree NN
on IN
a DT
Sunday NNP
morning NN
is VBZ
proving VBG
impossible JJ
! .

I PRP
wish VBP
I PRP
had VBD
a DT
laugh NN
like IN
Jada NNP

I PRP
see VBP
best JJS
before IN
dates NNS
on IN
food NN
as IN
guidelines NNS
rather RB
than IN
actual JJ
rules NNS

Church NNP
this DT
morning NN
! .
: :
) -RRB-
) -RRB-

I PRP
want VBP
summer NN
now RB
, ,
sick JJ
of IN
being VBG
cold JJ
all PDT
the DT
time NN
: :
( -LRB-
: :
( -LRB-

Catching VBG
up RP
on IN
sleep NN
all DT
day NN
today NN
! .

Be VB
grateful JJ
for IN
what WP
you PRP
have VBP
. .
: :
) -RRB-

Doctor NNP
Burr NNP
was VBD
a DT
tall JJ
and CC
commanding-looking JJ
man NN
with IN
a DT
Vandyke NNP
. .

QUIEROOOOOOO NNP
VER NNP
ESA NNP
PELICULA NNP
YA NNP
! .
! .

Justin NNP
Bieber NNP
actually RB
seems VBZ
so RB
lovely JJ
and CC
sweet JJ
aww NN
I PRP
want VBP
to TO
meet VB
him PRP

I PRP
just RB
discovered VBD
that IN
my PRP$
dad NN
went VBD
grocery NN
shopping NN

Once RB
again RB
CBC NNP
and CC
TSN NNP
will MD
be VB
my PRP$
favourite JJ
channels NNS
. .
I PRP
admit VBP
missing VBG
Ron NNP
, ,
Don NNP
and CC
HNIC NNP
! .

here RB
we PRP
go VBP

Huzoor NNP
, ,
for IN
a DT
week NN
. .

sigh NN
I PRP
feel VBP
as IN
if IN
so RB
many JJ
of IN
you PRP
hate VBP
