Needs NNS
some DT
retail JJ
therapy NN
who WP
wants VBZ
to TO
go VB
shopping NN
? .

I PRP
heard VBD
the DT
fault NN
been VBN
cracking VBG

If IN
you PRP
don't VBP
get VB
that IN
I PRP
already RB
hate VBP
you PRP

life NN
of IN
a DT
vampire NN
. .
. .

I PRP
hate VBP
you PRP
from IN
the DT
bottom NN
of IN
my PRP$
heart NN
. .

Monti NNP
just RB
got VBD
my PRP$
ass NN

Without IN
wearing VBG
any DT
mask NN
we PRP
are VBP
conscious JJ
of IN
, ,
we PRP
have VBP
a DT
special JJ
face NN
for IN
each DT
friend NN
. .

But CC
off IN
that DT
family NN
shit NN

Evidently RB
having VBG
been VBN
there RB
some DT
time NN
. .

Expect VB
the DT
bullshit NN
, ,
but CC
never RB
accept VB
it PRP
. .

I PRP
never RB
changed VBD
. .
I PRP
just RB
learned VBD
. .

Griffs NNS
always RB
late RB
on IN
a DT
Sunday NNP

Today NN
was VBD
a DT
good JJ
day NN

It PRP
is VBZ
my PRP$
mouth NN
. .
Take VB
it PRP
easy JJ
guys NNS
: :
) -RRB-
) -RRB-

I PRP
got VBD
: :
stfu NN

When WRB
someone NN
says VBZ
" ``
You PRP
just RB
made VBD
my PRP$
day NN
, ,
" ''
it PRP
makes VBZ
my PRP$
day NN
! .
! .

Various JJ
parts NNS
as IN
he PRP
wanted VBD
it PRP
. .

Like IN
fat JJ
Mexican JJ
twins NNS
at IN
a DT
beach NN

May MD
I PRP
stay VB
at IN
rest NN
in IN
peace NN
forever RB
to TO
come VB

Hold VB
up RP
let VB
me PRP
check VB
my PRP$
oovoo NN

Welfare NNP
of IN
Senorita NNP
Mendoza NNP
, ,
" ``
I PRP
hazarded VBD
, ,
as IN
he PRP
worked VBD
over IN
the DT
. .

Getting VBG
worst JJS
and CC
worst JJS
. .
. .
. .

Burliegh NNP
Zoo NNP
: :
) -RRB-

The DT
difficult JJ
times NNS
are VBP
often RB

the DT
best JJS
teachers NNS
, ,
and CC
there EX
is VBZ

John NNP
can MD
go VB
fuck VB
himself PRP
. .

Basically RB
. .
Yeah UH
. .

Massive JJ
changes NNS
as IN
of IN
tomorrow NN

He PRP
said VBD
nothing NN
for IN
a DT
. .
